# energy_eV muE
9.044945999999999913e+03 1.214720599999999928e+00
9.046540000000000873e+03 1.205264099999999949e+00
9.048152000000000044e+03 1.208178999999999892e+00
9.049782999999999447e+03 1.227314699999999981e+00
9.051433999999999287e+03 1.250655099999999909e+00
9.053103999999999360e+03 1.262068900000000049e+00
9.054791999999999462e+03 1.261754000000000042e+00
9.056500000000000000e+03 1.265431900000000054e+00
9.058227000000000771e+03 1.283779999999999921e+00
9.059971999999999753e+03 1.314196700000000106e+00
9.061736000000000786e+03 1.342194099999999946e+00
9.063521000000000640e+03 1.362520399999999965e+00
9.065322000000000116e+03 1.379210800000000070e+00
9.067145000000000437e+03 1.399953299999999956e+00
9.068985000000000582e+03 1.426616600000000012e+00
9.070844999999999345e+03 1.457374100000000006e+00
9.072724000000000160e+03 1.477812300000000079e+00
9.074620999999999185e+03 1.475722999999999896e+00
9.076538000000000466e+03 1.449838299999999913e+00
9.078474000000000160e+03 1.403014100000000042e+00
9.080429000000000087e+03 1.350038099999999908e+00
9.082402000000000044e+03 1.302971600000000008e+00
9.084396000000000640e+03 1.262039799999999934e+00
9.086406999999999243e+03 1.225182999999999911e+00
9.088438000000000102e+03 1.201343700000000014e+00
9.090487999999999374e+03 1.189609700000000103e+00
9.092557000000000698e+03 1.163596000000000075e+00
9.094646000000000640e+03 1.122825799999999985e+00
9.096752000000000407e+03 1.082640199999999941e+00
9.098878000000000611e+03 1.056119400000000041e+00
9.101022999999999229e+03 1.054212099999999985e+00
9.103188000000000102e+03 1.074726400000000082e+00
9.105370000000000800e+03 1.111325200000000013e+00
9.107572000000000116e+03 1.153262999999999927e+00
9.109793999999999869e+03 1.190674400000000022e+00
9.112033999999999651e+03 1.220320300000000024e+00
9.114292999999999665e+03 1.235683400000000098e+00
9.116570999999999913e+03 1.237808599999999926e+00
9.118868000000000393e+03 1.234701300000000002e+00
9.121184999999999491e+03 1.238991799999999976e+00
9.123520000000000437e+03 1.264468099999999984e+00
9.125873999999999796e+03 1.317158999999999969e+00
9.128246999999999389e+03 1.390280900000000042e+00
9.130639999999999418e+03 1.442225199999999985e+00
9.133050999999999476e+03 1.462749800000000100e+00
9.135480999999999767e+03 1.454621600000000070e+00
9.137931000000000495e+03 1.434824199999999994e+00
9.140398999999999432e+03 1.405708200000000074e+00
9.142887000000000626e+03 1.366054700000000066e+00
9.145393000000000029e+03 1.309466400000000030e+00
9.147918999999999869e+03 1.246654099999999987e+00
9.150462999999999738e+03 1.174688600000000083e+00
9.153025999999999840e+03 1.102107399999999959e+00
9.155609000000000378e+03 1.032284500000000049e+00
9.158210999999999331e+03 9.812916699999999492e-01
9.160831000000000131e+03 9.593930499999999695e-01
9.163470999999999549e+03 9.774767100000000264e-01
9.166129000000000815e+03 1.024117600000000072e+00
9.168807000000000698e+03 1.084984699999999913e+00
9.171504000000000815e+03 1.140184800000000109e+00
9.174219999999999345e+03 1.175036100000000028e+00
